"cluster","CE","CER","DAG","DCER","HCER","LCER","LPC","LPE","MAG","PC","PE","PI","SM","TAG"
"3",10.8150790328127,2.69392179133709,4.84870305315735,0.642562955562603,2.02048442206508,1.61211655222488,7.87888777038239,2.39519993131188,3.94732016769966,10.8931088552503,6.81175358201608,2.49804657766046,8.79185606235132,9.90566062477101
"3",11.2040893503807,3.37754025157406,5.59239424502936,1.32711247074709,2.55016189444743,1.97878137676273,7.95781537512281,2.87117338858184,4.1262956083028,11.1209000947564,7.00858772995357,2.76049774700357,9.11885570209184,10.7677350671009
"2",11.1807427517104,2.70150469976491,5.29996992654482,0.68050440115236,1.39845982712238,1.87876457126735,7.3055456000412,1.93092653106403,3.19509557717722,11.1338710838484,6.98406749799344,2.46868757304394,8.92301989560442,10.5334046881981
"2",10.8334214355029,2.5991035161464,5.06329584202958,0.465086378886066,2.48168643294366,2.0325593286324,7.57999092321613,3.06301966207355,3.73400503372005,10.9277209345086,6.99051586045075,3.12685725106191,8.93516180758872,10.7072849245662
"3",10.7652554292127,2.26435627052581,5.18347857445383,0.697062080497391,2.18154785645596,1.69452365267421,7.7940928484635,2.67267425611207,3.39763869880663,10.6020084328818,6.79502920627923,2.20992119086384,8.90406736619675,10.4496862019502
"3",10.8961560300944,2.35763645258788,4.167133091313,0.517023672064581,2.28483982811689,2.16185544302135,7.70856938368828,2.39006230892908,3.99998196619928,10.9370876070146,7.00575590143963,1.3922624619208,9.00902210596157,9.06653404255688
"1",11.0606297391045,2.71213351576515,4.59499036696184,0.418567779299712,2.03164221194961,1.84847772477,7.74017472384475,2.67488996120214,3.21857970328266,11.0871246699691,7.79238296415634,2.44813448098053,9.21399727161521,10.258038323202
"3",11.0344090108878,1.98910266698508,5.16282633769265,0.218967110048957,1.57565117898823,1.56584085376054,7.87913413705513,2.54606718045021,2.74256679059766,10.7821144718183,6.67580605353156,2.19786539135374,8.73250528715951,10.2044843354105
"2",11.071328276861,2.67847760604387,5.58578580417815,0.75240607121538,1.94833919513333,1.52566800737528,7.11101461443284,2.13714280489798,4.05769286716835,10.901493700828,6.8932020102938,2.92411889335533,8.87570113281301,11.0620360158769
"2",11.0029499983018,2.23370403121288,4.85915954369895,0.621524443671458,2.11016276231127,1.47508488294878,7.77675410740052,2.69213702293913,4.1081815145911,11.0360121590746,7.17354522672658,2.57664306286428,8.86136021652046,10.2628700269174
"2",10.9157457067984,2.29968425813695,4.81178440246714,0.295252823267693,2.09855430722073,1.80347504291766,7.55994908362373,3.01169242161522,3.93071841684812,10.8352901354726,6.6192853458074,3.30258226576763,8.83705673361416,10.6916030807148
"2",11.5525965767331,3.47247477415158,6.44796428257546,1.39434950399155,2.40713517469037,1.76663756213605,8.30528520573488,2.70688413801626,4.26620934723216,11.3663380619452,7.11546299848047,2.77235020780163,9.26430325026857,11.4603770527655
